WGS84 UTM 10N
553326 4136720
7.920246904715896 -10.882838116958737 153.848
-22.298428467242047 -9.497747885994613 154.012
-21.375226600910537 -0.7702356739901006 154.283
27.94814484124072 1.7788806315511465 153.825
8.798398458049633 17.99966265866533 154.687
18.829682352137752 24.307514633983374 154.826
17.966008158633485 -4.525586133822799 153.866
-2.086179369711317 -17.23982669180259 153.879
-11.384507757727988 5.349327713716775 154.384
-12.502186867641285 -16.8409286076203 153.826
-1.2603666108334437 11.756366442423314 154.557
